Utilisateurs,Laboratoire UPMC,Hors Upmc,Nb Jobs,Nb d'heures,UsageEfcy,Nb coeurs moyens utilises
brumme,IMPMC,,4438,0,0.0,63.92
figliuzzi,BCQ,,6,0,0.0,2.5
foulonj,ICS,,111,0,0.0,127.14
frey,ICS,,74,0,0.0,128.0
maurini,IJLRDA,,3,0,0.0,6.67
nemausat,IMPMC,,195,0,0.0,22.89
polacke,LCT-LJLL,,8,0,0.0,54.0
root,ICS,SGI,1,0,0.0,8.0
sohier,IMPMC,,34,0,0.0,28.71
taulier,LIB,,12,0,0.09,4.0
cassone,IMPMC,,573,1,0.0,27.83
pichonc,IAP,,19,3,0.48,54.58
lit,IJLRDA,,75,4,0.06,60.64
bianco,IMPMC,,1136,5,0.0,56.13
mafety,IMPMC,,1425,5,0.0,45.43
lopez,Institut Biologie Paris,,3,9,0.2,64.0
dagrada,IMPMC,,179,16,0.0,69.27
pacaudf,PHENIX,,53,19,0.5,57.96
gastineaum,IMCCE,,13,20,0.36,69.0
pietrucci,IMPMC,,52,27,0.07,41.23
ray,IJLRDA,,22,57,0.45,36.23
beau,LPNHE,,67,90,0.26,52.9
wangx,IJLRDA,,56,101,0.2,51.54
sgi,ICS,SGI,171,106,0.07,92.46
weens,,Qhedge Technologie,6,160,0.22,64.0
pamuk,IMPMC,,8,203,1.0,32.0
spiga,LMD,,15,211,0.98,34.13
paulatto,IMPMC,,1143,215,0.0,66.1
millour,LMD - IPSL,,73,320,0.93,16.22
derue,LPNHE,,51,373,0.35,59.65
vigliotti,Institut Biologie Paris,,48,509,0.03,94.33
kant,LIP6,,17,612,0.13,102.82
narth,LCT,,153,806,0.65,14.86
parnaudeau,LJLL,,30,1545,0.54,174.93
hayh,IMPMC,,291,1620,0.08,33.98
iakymchuk,LIP6,,280,1763,0.15,61.58
lizhu,,,43,2455,0.61,64.56
navarrot,LMD ,,8377,2484,0.96,9.87
fitaborrel,LMD,,122,3441,0.92,21.71
noely,ISTEP,,118,3605,0.94,44.39
ducher,IMPMC,,201,3899,0.16,60.66
krawczyk,DSI,,179,4080,0.48,45.37
laportes,IMPMC,,286,7201,0.17,61.26
bieri,LPTMC,,279,9659,0.65,15.17
ugarteguti,BCQ,,109,12523,0.6,90.63
lagardere,ICS,,1016,13252,0.31,213.05
torche,IMPMC,,93,14890,0.82,70.88
mas,IMPMC,,239,15415,0.96,29.62
lacroixr,LJLL,Inria,945,23512,0.89,200.37
silvaberna,BCQ,,376,23961,0.63,42.31
ferlat,IMPMC,,1461,25603,0.45,16.13
viejo,ISIR,,44,27354,0.83,103.64
benhaiem,LPNHE,,140,27693,1.0,42.06
pottiera,LATMOS - IPSL,,1156,33789,1.0,59.32
lipparini,LJLL - LCT,,280,34381,0.78,115.61
oteri,BCQ,,169,38913,1.0,51.37
lavaux,IAP,,548,41277,0.48,54.06
syloslabin,LPNHE,,275,47648,1.0,32.0
mazan,SB-Roscoff,,251,47972,0.47,105.31
saitta,IMPMC,,207,48881,1.0,60.48
sponza,INSP,,135,52858,0.92,61.13
calandra,IMPMC,,3725,62767,0.35,64.36
dupuy,IMPMC,,822,68604,0.14,134.68
stratmann,IMPMC,,644,74204,0.87,66.65
joyce,LPNHE,,474,82326,1.0,31.18
schlittler,LPTL,,299,87696,0.72,81.76
delande,LKB,,82,88860,0.99,217.05
peirani,IAP,,213,115916,0.9,100.62
darco,ISTEP,,163,127740,1.0,146.76
lainee,BCQ,,844,287192,1.0,66.43
karami,BCQ,,1300,301490,0.98,72.8
lacivita,ISTEP,,2585,302584,1.0,42.37
valleti,IJLRDA,,1543,433003,0.71,40.18
gerolymos,IJLRDA,,1574,490063,0.69,45.1,2
,,,,,,,
