user,labo,hours,
nardoni,LJLL,49,
petiti,LCMCP,0,
vicedomini,Umr 7238 Biologie Computationnelle Et Quantitative,0,
dupuy,IMPMC,88434,
calandra,IMPMC,68010,
ducher,IMPMC,63399,
nemausat,Affectation Temporaire,0,
rouxm,Not Found,79,
gerolymos,IJLRA,158,
suzuki,Usr 3579 Biodiversite Et Biotechnologies Microbiennes,12572,
hellgren,IMPMC,9776,
laportes,IMPMC,71295,
lavaux,IAP,9924,
bianco,IMPMC,73467,
cain,Affectation Temporaire,564,
norgeot,Fed 3 Upmc Institut Du Calcul Et De La Simulation,32,
joyce,LPNHE,768,
gavazzi,IAP,33,
jusot,IMPMC,0,
benhaiem,LPNHE,10232,
torche,IMPMC,3652,
zubizarreta,IMPMC,10376,
lizhu,Affectation Temporaire,17098,
hayh,IMPMC,155500,
faugere,LIP6,282,
germainma,Not Found,253,
mas,IMPMC,45570,
stratmann,IMPMC,2057,
haferssas,LJLL,1179,
casula,IMPMC,93098,
ribeiro,IMPMC,8053,
syloslabini,LPNHE,39186,
pamuk,IMPMC,17785,
lagardere,Fed 3 Upmc Institut Du Calcul Et De La Simulation,6146,
