user,labo,hours,
peyrat,Divers,0,
lacroixr,ICS,28329,
gustincic,Divers,0,
lipparini,Divers,36518,
nemausat,Partenaires,0,
darco,Divers,133949,
navarrot,LMD,7839,
parnaudeau,LJLL,7416,
dagrada,IMPMC,82,
narth,LCT,860,
sindzingre,LPTMC,2,
delande,LKB,220326,
joyce,LPNHE,283511,
lucid,Divers,2,
rvuillemier,Divers,27,
sponza,Divers,52858,
foulonj,Partenaires,7,
ansari,Divers,1,
ducher,IMPMC,171767,
syloslabini,LPNHE,330622,
cain,Partenaires,8842,
fourel,Divers,0,
paricaud,Divers,8353,
figliuzzi,LCQB,0,
burov,Divers,3,
lopez,Divers,9,
peirani,IAP,127451,
zubizarreta,IMPMC,21373,
saitta,UFR 925,48888,
toulougouss,LJLL,1432,
brumme,Partenaires,0,
lit,IJLRA,157,
gastineaum,IMCCE,6144,
esling,SMTS,6067,
iakymchuk,Divers,2910,
wangc,LMD,938,
pichonc,IAP,3,
lacivita,Partenaires,607822,
casula,IMPMC,115649,
noely,ISTEP,9386,
bianco,IMPMC,153640,
pottiera,LATMOS,87342,
lizhu,Partenaires,744880,
champeimont,Divers,0,
simonnin,RH,0,
karami,LCQB,526610,
gerolymos,IJLRA,911032,
bitardfeild,Divers,6,
valleti,IJLRA,790460,
debuhan,Divers,6173,
baclep,RH,3,
calandra,IMPMC,244866,
millour,LMD,686,
mas,IMPMC,105968,
lagardere,ICS,38819,
frey,ICS,0,
davelou,Divers,0,
polacke,Divers,450,
creazzo,Divers,0,
silvabernar,LCQB,30307,
derue,LPNHE,373,
fall,Partenaires,0,
gavazzi,IAP,2777,
vigliotti,Evolution Seine,509,
mosyagin,Divers,77,
pacaudf,Institut de myologie,1766,
gebresilass,Divers,70,
paulatto,IMPMC,216,
suzuki,LBBM,12572,
taulier,Imagerie Bio,0,
mafety,IMPMC,7,
seitsonen,PASTEUR,18,
nardoni,LJLL,49,
kant,LIP6,612,
spiga,LMD,8232,
hellgren,IMPMC,9776,
gavin,Divers,2,
turbet,LMD,0,
vuilleumier,PASTEUR,48229,
meheust,Evolution Seine,223,
mazan,BIOM,47972,
oteri,LCQB,38925,
vicedomini,LCQB,717,
fitaborrell,LMD,5402,
lestringanc,Divers,12,
faugere,LIP6,1535,
filatova,Divers,53,
guoz,Divers,19,
tournier,LJLL,116206,
lavaux,IAP,80089,
taudul,Divers,2,
jusot,IMPMC,0,
ugartegutie,LCQB,224426,
agosto,Divers,0,
wangx,LERMA,101,
root,Divers,4,
norgeot,ICS,545,
raucci,ICS,52020,
tresca,Divers,2,
hayh,IMPMC,349155,
sgi,Divers,7664,
pietrucci,IMPMC,27,
ribeiro,IMPMC,16204,
nicolasl,Divers,0,
popinet,IJLRA,8,
benhaiem,LPNHE,166849,
houlle,Divers,21,
gharaee,Divers,20,
lainee,UFR 927,445891,
sohier,Partenaires,36226,
torche,IMPMC,67120,
mantisi,LPTMC,0,
lalande,Not Found,0,
derat,IPCM,145,
attouche,Divers,6,
ferlat,IMPMC,144481,
finocchi,INSP,1,
pipolo,IMPMC,685,
viot,LPTMC,2,
ray,IJLRA,57,
krawczyk,Not Found,5334,
germainma,Not Found,253,
rouxm,Not Found,79,
bieri,IAP,9659,
tomecka,Divers,70,
beau,LPNHE,90,
kandaskalov,Divers,8,
difelice,Divers,0,
haferssas,LJLL,1292,
viejo,ISIR,27354,
petiti,LCMCP,6235,
schlittler,Divers,87696,
pamuk,IMPMC,434348,
stratmann,IMPMC,91559,
bohuon,UFR 927,0,
maurini,IJLRA,1549,
louisl,Divers,45,
weens,Divers,160,
dupuy,IMPMC,225078,
peter,IAP,38114,
laportes,IMPMC,78497,
cassone,IMPMC,1,
