user,labo,hours,
filatova,Divers,53,
simonnin,RH,0,
taudul,Divers,2,
mafety,IMPMC,0,
valleti,IJLRA,253808,
suzuki,LBBM,12572,
benhaiem,LPNHE,131835,
nemausat,Partenaires,0,
rvuillemier,Divers,27,
peter,IAP,21787,
debuhan,Divers,6173,
sindzingre,LPTMC,2,
noely,ISTEP,4571,
ferlat,IMPMC,57171,
silvabernar,LCQB,2388,
gharaee,Divers,20,
hayh,IMPMC,347533,
gavazzi,IAP,2777,
maurini,IJLRA,1549,
ribeiro,IMPMC,16204,
derat,IPCM,145,
syloslabini,LPNHE,239888,
zubizarreta,IMPMC,21373,
casula,IMPMC,115649,
gustincic,Divers,0,
pipolo,IMPMC,685,
dupuy,IMPMC,101760,
stratmann,IMPMC,17355,
ducher,IMPMC,167867,
tresca,Divers,2,
cain,Partenaires,8842,
vicedomini,LCQB,717,
toulougouss,LJLL,1432,
mas,IMPMC,82275,
petiti,LCMCP,6226,
lacroixr,ICS,4816,
paulatto,IMPMC,0,
foulonj,Partenaires,0,
kandaskalov,Divers,8,
turbet,LMD,0,
gastineaum,IMCCE,752,
difelice,Divers,0,
nardoni,LJLL,49,
lucid,Divers,2,
gavin,Divers,2,
lavaux,IAP,20897,
spiga,LMD,8021,
guoz,Divers,19,
gebresilass,Divers,70,
bianco,IMPMC,153635,
sgi,Divers,21,
lagardere,ICS,24629,
lizhu,Partenaires,676353,
attouche,Divers,6,
lestringanc,Divers,12,
lainee,UFR 927,158698,
agosto,Divers,0,
fall,Partenaires,0,
torche,IMPMC,48785,
narth,LCT,53,
seitsonen,PASTEUR,18,
nicolasl,Divers,0,
frey,ICS,0,
lacivita,Partenaires,122711,
polacke,Divers,449,
pacaudf,Institut de myologie,308,
sohier,Partenaires,25766,
oteri,LCQB,11,
peirani,IAP,7891,
creazzo,Divers,0,
norgeot,ICS,545,
jusot,IMPMC,0,
pottiera,LATMOS,30125,
ugartegutie,LCQB,152214,
dagrada,IMPMC,64,
baclep,RH,3,
calandra,IMPMC,182098,
tournier,LJLL,116206,
germainma,Divers,253,
tomecka,Divers,70,
rouxm,Divers,79,
lit,IJLRA,152,
ansari,Divers,1,
vuilleumier,PASTEUR,48229,
raucci,ICS,37329,
navarrot,LMD,5224,
mantisi,LPTMC,0,
faugere,LIP6,1535,
saitta,UFR 925,6,
gerolymos,IJLRA,287974,
brumme,Partenaires,0,
bitardfeild,Divers,6,
joyce,LPNHE,191863,
haferssas,LJLL,1292,
mosyagin,Divers,77,
wangc,LMD,938,
davelou,Divers,0,
laportes,IMPMC,71295,
pamuk,IMPMC,338317,
karami,LCQB,215366,
krawczyk,Divers,1254,
root,Divers,0,
louisl,Divers,45,
iakymchuk,Divers,512,
hellgren,IMPMC,9776,
meheust,Evolution Seine,223,
lalande,Divers,0,
houlle,Divers,21,
cassone,IMPMC,0,
finocchi,INSP,1,
